gauge_a,gauge_b,area_a,area_b,dist_km,area_ratio
GRDC_6335020,GRDC_6335070,158721.302648701,139227.618222812,161.77369446957533,0.877182935745969
GRDC_6335020,GRDC_6335100,158721.302648701,103274.986712218,209.15326477282503,0.6506687192506053
GRDC_6335020,GRDC_6335050,158721.302648701,147464.836187307,64.19008063385463,0.9290803044484329
GRDC_6335020,GRDC_6335060,158721.302648701,144041.075526608,99.62311258389948,0.9075094087742913
GRDC_6335050,GRDC_6335100,147464.836187307,103274.986712218,145.2073251943662,0.7003363607378243
GRDC_6335050,GRDC_6335150,147464.836187307,98001.9894883323,172.6706075525604,0.6645787024362341
GRDC_6335050,GRDC_6335070,147464.836187307,139227.618222812,97.66499622253227,0.9441411377961845
GRDC_6335050,GRDC_6335060,147464.836187307,144041.075526608,35.43355868054962,0.9767825283015255
GRDC_6335060,GRDC_6335070,144041.075526608,139227.618222812,62.32498015005619,0.9665827453301205
GRDC_6335060,GRDC_6335100,144041.075526608,103274.986712218,109.99821986803262,0.7169828907112021
GRDC_6335060,GRDC_6335150,144041.075526608,98001.9894883323,138.73538759152552,0.6803752966300843
GRDC_6335070,GRDC_6335100,139227.618222812,103274.986712218,47.779390775562554,0.7417708356322132
GRDC_6335070,GRDC_6335150,139227.618222812,98001.9894883323,79.47408507973722,0.7038976227510799
GRDC_6340110,GRDC_6340140,130643.0663888,93737.2109239097,153.97719571386426,0.7175062061460139
GRDC_6340110,GRDC_6340170,130643.0663888,69834.6769484051,172.16768337954218,0.5345456048970388
GRDC_6340110,GRDC_6340180,130643.0663888,94773.446101937,132.99491867480944,0.725438010004195
GRDC_6340110,GRDC_6340160,130643.0663888,97533.0438522194,106.19272609418721,0.7465611956929762
GRDC_6340110,GRDC_6340150,130643.0663888,122264.401020746,63.72530499185661,0.9358659774325971
GRDC_6340150,GRDC_6340180,122264.401020746,94773.446101937,95.70937111496956,0.7751516002262647
GRDC_6340150,GRDC_6340160,122264.401020746,97533.0438522194,51.91184241635262,0.7977223381290671
GRDC_6340150,GRDC_6340170,122264.401020746,69834.6769484051,127.28947614992809,0.5711775166391684
lamah_207274,lamah_207357,103638.85273107103,95553.28200571556,112.32434550107895,0.921983208880781
lamah_207274,lamah_207373,103638.85273107103,103579.39877574178,10.583733592097852,0.9994263352617041
lamah_207274,lamah_207407,103638.85273107103,130852.58360314436,3.846394040871378,0.7920275616826309
lamah_207373,lamah_207407,103579.39877574178,130852.58360314436,14.387233916973246,0.791573203398735
GRDC_6335100,GRDC_6335150,103274.986712218,98001.9894883323,37.64058121103413,0.9489421650706262
GRDC_6335100,GRDC_6335180,103274.986712218,68711.5858724775,66.21713215875079,0.6653265041219176
GRDC_6335100,GRDC_6335170,103274.986712218,53044.0141338552,98.14725639114432,0.5136191813964165
GRDC_6242501,lamah_207373,101164.068190954,103579.39877574178,43.841094368989204,0.976681361223025
GRDC_6242501,lamah_207241,101164.068190954,101101.23147762156,1.7752590361120366,0.9993788633211762
GRDC_6242501,lamah_207274,101164.068190954,103638.85273107103,50.58835301725179,0.9761210735655405
GRDC_6242501,lamah_207407,101164.068190954,130852.58360314436,52.856728911012134,0.773114793803147
GRDC_6242501,lamah_207134,101164.068190954,94400.7998895742,74.18806591875425,0.933145548391612
GRDC_6242501,lamah_207357,101164.068190954,95553.28200571556,63.43682120691389,0.9445377564823936
lamah_207241,lamah_207357,101101.23147762156,95553.28200571556,64.69366610902496,0.9451248081668122
lamah_207241,lamah_207274,101101.23147762156,103638.85273107103,48.99264856571567,0.975514768963776
lamah_207241,lamah_207407,101101.23147762156,130852.58360314436,51.3111169765571,0.7726345838477745
lamah_207241,lamah_207373,101101.23147762156,103579.39877574178,42.13406256575338,0.9760747086060457
GRDC_6335150,GRDC_6335200,98001.9894883323,50535.7716609646,107.50168480931525,0.5156606710211855
GRDC_6335150,GRDC_6335180,98001.9894883323,68711.5858724775,41.39052233938033,0.7011243978945755
GRDC_6335150,GRDC_6335170,98001.9894883323,53044.0141338552,77.0164102289104,0.5412544623920149
GRDC_6340160,GRDC_6340180,97533.0438522194,94773.446101937,51.163108741711106,0.971706022479277
GRDC_6340160,GRDC_6340170,97533.0438522194,69834.6769484051,76.18214414054857,0.7160104328766521
GRDC_6340160,GRDC_6340190,97533.0438522194,55367.2606335628,130.03523050682222,0.5676769476963566
lamah_207357,lamah_207373,95553.28200571556,103579.39877574178,103.77492542757628,0.9225124217277662
lamah_207357,lamah_207407,95553.28200571556,130852.58360314436,115.09966595071748,0.7302361128421727
GRDC_6340180,GRDC_6340190,94773.446101937,55367.2606335628,113.08376108925385,0.5842064724966373
lamah_207134,lamah_207407,94400.7998895742,130852.58360314436,122.8773230174284,0.7214286282331056
lamah_207134,lamah_207274,94400.7998895742,103638.85273107103,119.73356023684451,0.9108630344889252
lamah_207134,lamah_207357,94400.7998895742,95553.28200571556,19.24581824646279,0.9879388536746188
lamah_207134,lamah_207373,94400.7998895742,103579.39877574178,110.29337906173123,0.9113858644223257
lamah_207134,lamah_207241,94400.7998895742,101101.23147762156,75.12159941494188,0.9337255195597645
GRDC_6340140,GRDC_6340190,93737.2109239097,55367.2606335628,90.9313530945477,0.5906646900184245
GRDC_6340140,GRDC_6340150,93737.2109239097,122264.401020746,111.56070436720451,0.766676237247539
GRDC_6340140,GRDC_6340160,93737.2109239097,97533.0438522194,61.968167241360156,0.9610815701183172
GRDC_6340140,GRDC_6340170,93737.2109239097,69834.6769484051,18.71898623089746,0.7450048519695422
GRDC_6340140,GRDC_6340180,93737.2109239097,94773.446101937,22.617463999647793,0.9890661865675673
GRDC_6342900,lamah_207357,76327.0705782948,95553.28200571556,146.17907823144458,0.7987906744399347
GRDC_6342900,lamah_207134,76327.0705782948,94400.7998895742,140.2557755914594,0.8085426253546449
GRDC_6342900,lamah_10088003,76327.0705782948,47398.46251812284,30.3517274134185,0.6209915061459411
GRDC_6340170,GRDC_6340190,69834.6769484051,55367.2606335628,73.4649423269561,0.79283334659755
GRDC_6340170,GRDC_6340180,69834.6769484051,94773.446101937,41.2831444442926,0.73685910791185
GRDC_6335180,GRDC_6335200,68711.5858724775,50535.7716609646,66.91450049497323,0.7354767179257721
GRDC_6340130,GRDC_6340180,61510.8032178817,94773.446101937,75.0565760666576,0.649029931355683
GRDC_6340130,GRDC_6340190,61510.8032178817,55367.2606335628,41.49979381774752,0.900122543310686
GRDC_6340130,GRDC_6340160,61510.8032178817,97533.0438522194,88.68400371824671,0.6306662930676289
GRDC_6340130,GRDC_6340140,61510.8032178817,93737.2109239097,54.50226294986065,0.6562047516840726
GRDC_6340130,GRDC_6340150,61510.8032178817,122264.401020746,139.60330412667955,0.5030965898851004
GRDC_6340130,GRDC_6340170,61510.8032178817,69834.6769484051,40.633001354045774,0.8808060107921283
GRDC_6172350,GRDC_6172351,56080.824261961,47709.120031196,49.70929677851293,0.8507207349225172
GRDC_6854700,GRDC_6854703,53527.6552708821,30772.0117669079,116.3714992057892,0.5748806221976852
GRDC_6854700,GRDC_6854702,53527.6552708821,49708.2788604227,83.20689386461045,0.9286466707512022
GRDC_6335170,GRDC_6336050,53044.0141338552,27046.9520613182,129.54318667894927,0.5098964040139555
GRDC_6335170,GRDC_6335180,53044.0141338552,68711.5858724775,35.62986136013076,0.77198064140595
GRDC_6335170,GRDC_6335200,53044.0141338552,50535.7716609646,33.23863864623991,0.9527139392851922
GRDC_6340120,GRDC_6340140,52913.9646078582,93737.2109239097,164.47938952392258,0.564492628768426
GRDC_6340120,GRDC_6340130,52913.9646078582,61510.8032178817,116.3843784139242,0.8602385571267531
GRDC_6340120,GRDC_6340170,52913.9646078582,69834.6769484051,146.21156272559725,0.7577032918323918
GRDC_6340120,GRDC_6340190,52913.9646078582,55367.2606335628,75.03645973014005,0.9556904929441742
GRDC_6140400,GRDC_6340190,50934.2355652299,55367.2606335628,120.23695563568772,0.9199341810014406
GRDC_6140400,GRDC_6340120,50934.2355652299,52913.9646078582,45.309148983486956,0.9625858871604134
GRDC_6140400,GRDC_6140401,50934.2355652299,48375.4200440721,18.352129050022974,0.9497623652782459
GRDC_6854702,GRDC_6854703,49708.2788604227,30772.0117669079,51.507242520680514,0.619052046708628
GRDC_6233315,GRDC_6233320,48425.6082519233,48417.5017978036,2.9350408081016983,0.9998325998492877
GRDC_6140401,GRDC_6340120,48375.4200440721,52913.9646078582,50.29773515841158,0.9142278489729329
GRDC_6140401,GRDC_6340190,48375.4200440721,55367.2606335628,124.11871184633469,0.8737188636482343
lamah_10088003,lamah_18008008,47398.46251812284,25920.23267829393,27.36346249642977,0.5468580899303075
lamah_10088003,lamah_207134,47398.46251812284,94400.7998895742,170.500542453697,0.5020981027021744
GRDC_6212410,GRDC_6212440,41644.3270972712,46301.8813276237,33.77532351880954,0.8994089635927212
GRDC_6232910,GRDC_6832755,40141.4405492651,40141.4405492538,0.0,0.9999999999997186
GRDC_6232910,GRDC_6854700,40141.4405492651,53527.6552708821,35.82389852021351,0.7499196508071443
GRDC_6232910,GRDC_6854702,40141.4405492651,49708.2788604227,81.37391943312554,0.8075403427662301
GRDC_6232910,GRDC_6832917,40141.4405492651,33365.7760233423,83.90473559587532,0.8312052474148977
GRDC_6832755,GRDC_6854702,40141.4405492538,49708.2788604227,81.37391943312554,0.8075403427660027
GRDC_6832755,GRDC_6854700,40141.4405492538,53527.6552708821,35.82389852021351,0.7499196508069332
GRDC_6832755,GRDC_6832917,40141.4405492538,33365.7760233423,83.90473559587532,0.8312052474151317
GRDC_6729400,GRDC_6729403,39682.4812082193,39660.3260110672,3.351691252648349,0.999441688209065
GRDC_6337200,GRDC_6337515,38365.8179048031,22141.7327251271,13.700053074203366,0.5771213526599971
GRDC_6337200,GRDC_6337517,38365.8179048031,19874.9417413067,41.23491489089753,0.5180377436660489
lamah_10078000,lamah_18008008,37504.20227834277,25920.23267829393,62.18055134051777,0.6911287563437088
lamah_10078000,lamah_10088003,37504.20227834277,47398.46251812284,35.17214540702551,0.7912535615264525
lamah_10062000,lamah_10088003,35218.72646688698,47398.46251812284,81.19796642665263,0.7430352082289816
