response,predictor,beta_std,se_clustered,t,p_wild_bootstrap,q_bh
gain_Qsim,aridity,-0.015817626071639886,0.03490247105450247,-0.4531950201159006,0.6935,0.989
gain_Qsim,frac_snow,-0.19983466058315583,0.07359917287205107,-2.7151753584318072,0.156,0.44
gain_Qsim,slope_l,-0.024435304783922283,0.11118116935564809,-0.219779166971686,0.854,0.989
gain_Qsim,clay_pc,0.0008092808843563062,0.06221761655242596,0.013007262720750286,0.989,0.989
gain_Qsim,gwt_l,-0.07528584968697792,0.054653526586560676,-1.3775112858955152,0.22,0.44
gain_Qsim,karst_pc,-0.03944854690954589,0.015449971094141972,-2.5533087841506217,0.206,0.44
gain_Qobs,aridity,-0.05016412978397154,0.05310618823954753,-0.9446004589464194,0.4505,0.5985
gain_Qobs,frac_snow,-0.34974994431949596,0.1334022364640299,-2.62176972133298,0.1245,0.42899999999999994
gain_Qobs,slope_l,0.16836799613066836,0.1603763864600812,1.0498303387860426,0.5985,0.5985
gain_Qobs,clay_pc,-0.07635946620294426,0.07569304623438518,-1.0088042429484936,0.555,0.5985
gain_Qobs,gwt_l,-0.17902205183242914,0.08760868603638759,-2.0434281112043355,0.143,0.42899999999999994
gain_Qobs,karst_pc,-0.03377209089803782,0.03791390231640011,-0.8907574487110841,0.467,0.5985
log_tau,aridity,0.18459472771995297,0.09283063657404077,1.988510846553574,0.102,0.1935
log_tau,frac_snow,0.32501476182874245,0.20522427537249444,1.583705247533807,0.689,0.8267999999999999
log_tau,slope_l,-0.7025449211532643,0.2760935930027447,-2.5445897295642066,0.089,0.1935
log_tau,clay_pc,0.013654975446079918,0.1663208644446805,0.08210019525614995,0.9395,0.9395000000000001
log_tau,gwt_l,0.4515939825979793,0.20295035165547942,2.2251451101922086,0.0165,0.099
log_tau,karst_pc,0.14249725473148125,0.08298817746763362,1.717078975340275,0.129,0.1935
logit_ac1,aridity,0.35589072887873757,0.11366317385741867,3.1310996939534164,0.026,0.039
logit_ac1,frac_snow,0.7308190785277258,0.21507807916639274,3.3979245182040883,0.0075,0.0225
logit_ac1,slope_l,-0.9482776043385381,0.20917714164903936,-4.533371078994725,0.0035,0.021
logit_ac1,clay_pc,-0.07372296257619532,0.1508119065361337,-0.48884046538150294,0.708,0.7079999999999999
logit_ac1,gwt_l,0.4706718917021876,0.17838690415284467,2.6384890412073556,0.026,0.039
logit_ac1,karst_pc,0.16512124149656468,0.10957378691152318,1.5069410864652695,0.2455,0.2946
log_tau_obs,aridity,0.20920837180346977,0.08079676592183802,2.5893161615633953,0.0435,0.06525
log_tau_obs,frac_snow,0.1311657629132938,0.12595711939890222,1.0413525137701503,0.791,0.791
log_tau_obs,slope_l,-0.4878232089698849,0.15316291313164032,-3.1849956297880744,0.0175,0.035
