response,label,marginal_R2,country_partial_R2,predictor_partial_R2_within,icc,n,n_countries,kfold_r2_global,loco_r2_global,loco_r2_local_pooled,loco_r2_local_debiased_pooled,loco_r2_local_median_country,loco_r2_local_wmean_country,loco_n_countries_negative_local,loco_n_countries_big,loco_r2_local_median_big,loco_r2_local_debiased_median_big,loco_rho_within_median_big,loco_n_big_negative_local,loco_n_big_negative_debiased,loco_n_big_negative_rho,family
gain_Qsim,amplitude: winter transfer coeff (simulated),0.39441629228964126,0.11123466729327147,0.14863513832030084,0.12303740412100718,1364,16,0.3885903319117673,0.1651001186084704,-0.2984765551012494,-0.0041962274381495135,-0.6311452190143214,,10,12,-0.33706046755041774,-0.048674104399192675,0.03638795986622073,7,6,6,amplitude
gain_Qobs,amplitude: winter transfer coeff (OBSERVED),0.302332392056224,0.23940180818170298,0.11249439142155826,0.2590219115285398,1279,15,0.2905974758184613,-0.16383040953680328,-1.0390882677421396,-0.07486667851404705,-0.5462049617886381,,12,12,-0.5462049617886381,0.05642044318502182,0.29538705227984474,10,4,5,amplitude
log_tau,memory: log tau (simulated),0.15891367139103585,0.07560365305856476,0.10679198221737995,0.07123546602364238,1364,16,0.14857898405580272,-0.14712412255027907,-0.31509509342603326,-0.09035873650989701,-0.2495059565994111,,11,12,-0.20228435371001519,-0.009213262117971077,0.24643712276816065,8,6,5,memory
logit_ac1,memory: logit ac1 (simulated),0.34747842877981194,0.08321875625858377,0.07265569467166655,0.10445711926904634,1364,16,0.3394545871386978,0.15016659946462108,-0.32381359197319504,-0.024959447209017993,-0.3244599942498607,,14,12,-0.27744428786940245,-0.02742401114080173,0.19639220476285776,11,7,1,memory
log_tau_obs,memory: log tau (OBSERVED),0.16898647350285323,0.06293853134774441,0.06083160814961097,0.0565178833194171,1364,16,0.15821854540179903,-0.03194734257019949,-0.2449500805797573,-0.07356217218446326,-0.23443745337983657,,13,12,-0.2211532809069361,-0.08409967888443104,0.1434150873281308,10,9,5,memory
logit_ac1_obs,memory: logit ac1 (OBSERVED),0.33257226378171567,0.07274197864078791,0.030886691460433546,0.062066235162852874,1364,16,0.3250964095321478,0.24590380994592265,-0.20544981035178922,-0.056078867285660694,-0.16700326650014752,,13,12,-0.15200530723784833,-0.016276250388074176,0.23360388176220825,10,6,4,memory
reg_lag,timing: response lag (simulated),0.3144438471841594,0.17894782721084657,0.11249670853819194,0.2267747940732218,1347,16,0.30476828730199934,-0.028192678406125493,-0.6607726019044551,0.07115283807320094,-0.3899762846442498,,10,12,-0.23722614357169547,0.1093653770757767,0.4153801561529743,8,4,3,timing
logit_late,timing: logit late fraction (simulated),0.2782062077779308,0.1508418672774937,0.1497816272841317,0.16513787504172134,1347,16,0.27045903912756086,-0.020067961868678097,-0.41531909915161647,0.11912331051394831,-0.06081910552508063,,9,12,-0.05074427136649373,0.11643975254439853,0.44278010556536374,7,4,3,timing
reg_lag_obs,timing: response lag (OBSERVED),0.2654336639549755,0.20309450018858288,0.02818995921928813,0.20190927018904542,1297,15,0.2548014667983638,-0.035646798855545336,-0.8504868618294885,-0.104533484097181,-0.8494457342126865,,12,12,-0.6895798719858276,-0.04836958450700024,0.15398130684321462,10,7,3,timing
logit_late_obs,timing: logit late fraction (OBSERVED),0.2085970089815723,0.13051049681889082,0.04727456103656413,0.13124717252574075,1297,15,0.19901117618990605,-0.03806461507184,-0.46584708706302624,-0.006464650683386086,-0.17687484252935692,,9,12,-0.047743069806598704,0.06803694848344122,0.3060768278363576,7,4,3,timing
