response,label,marginal_R2,country_partial_R2,predictor_partial_R2_within,icc,n,n_countries,kfold_r2_global,loco_r2_global,loco_r2_local_pooled,loco_r2_local_debiased_pooled,loco_r2_local_median_country,loco_r2_local_wmean_country,loco_n_countries_negative_local,loco_n_countries_big,loco_r2_local_median_big,loco_r2_local_debiased_median_big,loco_rho_within_median_big,loco_n_big_negative_local,loco_n_big_negative_debiased,loco_n_big_negative_rho,family
gain_Qsim,amplitude: winter transfer coeff (simulated),0.4302395126290056,0.10915858873875506,0.15221009439182331,0.1314659429801608,2135,16,0.4254931104394143,0.17419486007277762,-0.3475668709616724,-0.005668653740114493,-0.5178467776460638,,11,14,-0.47870639529657033,-0.07182238678640207,0.09454786089020983,10,8,6,amplitude
gain_Qobs,amplitude: winter transfer coeff (OBSERVED),0.35138004742867934,0.24039687108348695,0.1004063571684497,0.28437605771908947,2019,15,0.3444055139872888,-0.15248310211044158,-1.2658600043975339,-0.11059452923238466,-0.7289272617911574,,13,13,-0.6289835765171097,0.04051701533261187,0.2838285545889597,12,4,3,amplitude
log_tau,memory: log tau (simulated),0.16667175343814566,0.08645361128272122,0.11216467631262794,0.08722544604187969,2135,16,0.15845990623156503,-0.15506761336217467,-0.34460390552079256,-0.07538432926318661,-0.13966105198878798,,12,14,-0.11262723102319216,0.026338921479958255,0.22425545949299416,11,7,6,memory
logit_ac1,memory: logit ac1 (simulated),0.33399116826891273,0.09115449994373914,0.073378219102056,0.11607423993734059,2135,16,0.3285695279057659,0.12840280807361648,-0.3445748608744088,-0.009619707615207806,-0.35020488683194806,,14,14,-0.3167395974363212,-0.009923495621436573,0.1576753965289206,13,8,4,memory
log_tau_obs,memory: log tau (OBSERVED),0.17775632412941755,0.06674442067679964,0.06896228697763052,0.06151576133443315,2135,16,0.170323228622409,-0.015019130899643018,-0.23112974830378552,-0.050462832796065005,-0.20822547169947425,,12,14,-0.1850342364772839,-0.05206807352637299,0.05921789519982726,11,8,5,memory
logit_ac1_obs,memory: logit ac1 (OBSERVED),0.289773566906115,0.08286640408361146,0.03188970586524442,0.07767875824013962,2135,16,0.28415627369590246,0.18352854490423898,-0.23848583003211998,-0.03157862699807801,-0.2526642531350114,,11,14,-0.24127044832078326,-0.01788557164399296,0.1316001802843908,10,8,4,memory
reg_lag,timing: response lag (simulated),0.3313545888655487,0.16965559070068925,0.10088012988609218,0.22078865094012534,2107,16,0.32417807771249096,0.0027771080307184004,-0.6623984772658753,0.055573028141471026,-0.3905872772381349,,10,14,-0.34358462102271115,0.0709209894192715,0.34453599626065756,9,6,4,timing
logit_late,timing: logit late fraction (simulated),0.2831836773516404,0.1337479817993409,0.13842700505260164,0.14790848379362498,2107,16,0.2770400234273067,0.011039663868538163,-0.37070923845752923,0.10203385718681446,-0.1462663619981548,,10,14,-0.12349576380712213,0.08332200811911405,0.41329354487661074,9,5,3,timing
reg_lag_obs,timing: response lag (OBSERVED),0.2656200278733809,0.17262011318750625,0.02274395437737009,0.16202881522508708,2038,15,0.2598996302737101,0.025297121206496742,-0.6675731733263217,-0.10712865981069175,-0.7768150080870105,,11,13,-0.6911760569213643,-0.04714261247535023,0.0725868725868726,10,9,5,timing
logit_late_obs,timing: logit late fraction (OBSERVED),0.21989649285737212,0.10780871473450171,0.04305253354994021,0.10723667689026627,2038,15,0.21448939631216468,0.02148107028063173,-0.3678934612760807,-0.007335293796035591,-0.28330025967319417,,10,13,-0.06691237601616873,0.0018933031822740976,0.25899989057883793,9,6,4,timing
