gauge_id,n_valid,first,last,yrs_valid_post1983
camelsdk_100006,7018,1989-01-01,2008-04-06,19.2
camelsdk_100009,11322,1989-01-01,2019-12-31,31.0
camelsdk_100010,9935,1989-01-01,2019-12-31,27.2
camelsdk_100011,9929,1989-01-01,2019-12-31,27.2
camelsdk_100013,7379,1989-01-01,2019-12-31,20.2
camelsdk_100014,9892,1989-01-01,2019-12-31,27.1
camelsdk_100016,9934,1989-01-01,2019-12-31,27.2
camelsdk_110011,11322,1989-01-01,2019-12-31,31.0
camelsdk_110016,11322,1989-01-01,2019-12-31,31.0
camelsdk_120001,6949,1996-01-01,2019-12-31,19.0
camelsdk_130005,9873,1989-01-01,2019-12-31,27.0
camelsdk_130008,6352,1989-01-01,2006-05-23,17.4
camelsdk_130011,11322,1989-01-01,2019-12-31,31.0
camelsdk_130019,11322,1989-01-01,2019-12-31,31.0
camelsdk_140016,11322,1989-01-01,2019-12-31,31.0
camelsdk_140022,11322,1989-01-01,2019-12-31,31.0
camelsdk_150002,11322,1989-01-01,2019-12-31,31.0
camelsdk_150032,11322,1989-01-01,2019-12-31,31.0
camelsdk_150033,9426,1989-01-01,2014-12-31,25.8
camelsdk_150034,8034,1989-01-01,2019-12-31,22.0
camelsdk_150042,8400,1989-01-01,2019-12-31,23.0
camelsdk_150044,7670,1989-01-01,2019-12-31,21.0
camelsdk_150046,8794,1989-01-01,2019-12-31,24.1
camelsdk_150073,11322,1989-01-01,2019-12-31,31.0
camelsdk_160023,11322,1989-01-01,2019-12-31,31.0
camelsdk_160024,11322,1989-01-01,2019-12-31,31.0
camelsdk_160030,11322,1989-01-01,2019-12-31,31.0
camelsdk_160053,8400,1989-01-01,2019-12-31,23.0
camelsdk_160054,5469,1994-01-01,2019-12-31,15.0
camelsdk_160070,9496,1994-01-01,2019-12-31,26.0
camelsdk_160168,6939,1989-01-01,2007-12-31,19.0
camelsdk_160207,6940,1989-01-01,2008-12-31,19.0
camelsdk_170004,11322,1989-01-01,2019-12-31,31.0
camelsdk_170007,10047,1992-06-29,2019-12-31,27.5
camelsdk_180077,11322,1989-01-01,2019-12-31,31.0
camelsdk_180078,6574,1989-01-01,2012-12-31,18.0
camelsdk_180079,4382,1989-01-01,2011-12-31,12.0
camelsdk_190012,11322,1989-01-01,2019-12-31,31.0
camelsdk_190015,11321,1989-01-01,2019-12-31,31.0
camelsdk_190016,7673,1989-01-01,2019-12-31,21.0
camelsdk_200021,9861,1989-01-01,2019-12-31,27.0
camelsdk_200024,11322,1989-01-01,2019-12-31,31.0
camelsdk_200026,11322,1989-01-01,2019-12-31,31.0
camelsdk_200042,5844,1989-01-01,2005-12-31,16.0
camelsdk_20005,11322,1989-01-01,2019-12-31,31.0
camelsdk_20006,7678,1989-01-01,2019-12-31,21.0
camelsdk_210030,11322,1989-01-01,2019-12-31,31.0
camelsdk_210040,9154,1994-12-09,2019-12-31,25.1
camelsdk_210062,11322,1989-01-01,2019-12-31,31.0
camelsdk_210067,6574,1989-01-01,2006-12-31,18.0
camelsdk_210068,6565,1990-01-01,2007-12-31,18.0
camelsdk_210077,6589,1989-01-01,2007-01-15,18.0
camelsdk_210084,11322,1989-01-01,2019-12-31,31.0
camelsdk_210085,11322,1989-01-01,2019-12-31,31.0
camelsdk_210089,11322,1989-01-01,2019-12-31,31.0
camelsdk_210090,11322,1989-01-01,2019-12-31,31.0
camelsdk_210413,11322,1989-01-01,2019-12-31,31.0
camelsdk_210446,7304,1989-01-01,2019-12-31,20.0
camelsdk_210460,3652,2004-01-01,2019-12-31,10.0
camelsdk_210461,11322,1989-01-01,2019-12-31,31.0
camelsdk_210467,11322,1989-01-01,2019-12-31,31.0
camelsdk_210487,11322,1989-01-01,2019-12-31,31.0
camelsdk_210495,4748,1989-01-01,2005-12-31,13.0
camelsdk_210502,6578,1989-01-01,2007-01-04,18.0
camelsdk_210528,11322,1989-01-01,2019-12-31,31.0
camelsdk_210529,6874,1989-01-11,2011-12-31,18.8
camelsdk_210535,2422,2004-05-15,2010-12-31,6.6
camelsdk_210548,11322,1989-01-01,2019-12-31,31.0
camelsdk_210665,11322,1989-01-01,2019-12-31,31.0
camelsdk_210666,10226,1989-01-01,2019-12-31,28.0
camelsdk_210712,11322,1989-01-01,2019-12-31,31.0
camelsdk_210745,9861,1993-01-01,2019-12-31,27.0
camelsdk_210759,11322,1989-01-01,2019-12-31,31.0
camelsdk_210788,4017,1989-01-01,2005-12-31,11.0
camelsdk_210792,5113,1989-01-01,2005-12-31,14.0
camelsdk_210793,4757,1989-01-01,2019-12-31,13.0
camelsdk_210794,11322,1989-01-01,2019-12-31,31.0
camelsdk_210797,6209,1989-01-01,2005-12-31,17.0
camelsdk_210803,11322,1989-01-01,2019-12-31,31.0
camelsdk_210872,9861,1993-01-01,2019-12-31,27.0
camelsdk_211107,1762,2004-03-06,2008-12-31,4.8
camelsdk_211661,1993,2004-03-17,2010-03-10,5.5
camelsdk_220043,11322,1989-01-01,2019-12-31,31.0
camelsdk_220044,7670,1989-01-01,2019-12-31,21.0
camelsdk_220048,11322,1989-01-01,2019-12-31,31.0
camelsdk_220050,11322,1989-01-01,2019-12-31,31.0
