winter_year,NAO_DJF,EA_DJF,EAWR_DJF,SCA_DJF
1856,,,,
1857,,,,
1858,,,,
1859,,,,
1860,,,,
1861,,,,
1862,,,,
1863,,,,
1864,,,,
1865,,,,
1866,,,,
1867,,,,
1868,,,,
1869,,,,
1870,,,,
1871,,,,
1872,,,,
1873,,,,
1874,,,,
1875,,,,
1876,,,,
1877,,,,
1878,,,,
1879,,,,
1880,,,,
1881,,,,
1882,,,,
1883,,,,
1884,,,,
1885,,,,
1886,,,,
1887,,,,
1888,,,,
1889,,,,
1890,,,,
1891,,,,
1892,,,,
1893,,,,
1894,,,,
1895,,,,
1896,,,,
1897,,,,
1898,,,,
1899,,,,
1900,,,,
1901,,,,
1902,,,,
1903,,,,
1904,,,,
1905,,,,
1906,,,,
1907,,,,
1908,,,,
1909,,,,
1910,,,,
1911,,,,
1912,,,,
1913,,,,
1914,,,,
1915,,,,
1916,,,,
1917,,,,
1918,,,,
1919,,,,
1920,,,,
1921,,,,
1922,,,,
1923,,,,
1924,,,,
1925,,,,
1926,,,,
1927,,,,
1928,,,,
1929,,,,
1930,,,,
1931,,,,
1932,,,,
1933,,,,
1934,,,,
1935,,,,
1936,,,,
1937,,,,
1938,,,,
1939,,,,
1940,,,,
1941,,,,
1942,,,,
1943,,,,
1944,,,,
1945,,,,
1946,,,,
1947,,,,
1948,,,,
1949,,,,
1950,,,,
1951,-0.3666666666666667,-1.3733333333333333,-1.57,0.75
1952,0.1066666666666666,-1.2966666666666666,-0.8300000000000001,-0.6533333333333333
1953,-0.5366666666666666,-1.78,0.1099999999999999,0.05
1954,-0.0666666666666666,-1.5200000000000002,0.4266666666666667,1.143333333333333
1955,-1.27,-0.6033333333333334,-1.02,0.2766666666666666
1956,-0.7999999999999999,-1.5099999999999998,-0.3,-0.0633333333333333
1957,0.1299999999999999,-0.3966666666666666,-0.22,0.6933333333333334
1958,-0.92,-0.9466666666666668,0.0366666666666666,-0.34
1959,-0.6433333333333333,-0.5233333333333333,0.4166666666666667,-0.34
1960,-1.4266666666666663,0.42,-0.27,0.6866666666666666
